REF_AREA_LABEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Prevalence of undernourishment (% of population),"Life expectancy at birth, total (years)","School enrollment, secondary (% gross)",Proportion of seats held by women in national parliaments (%),People using at least basic drinking water services (% of population),Access to electricity (% of population),GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),Gini index,Urban population (% of total population),Combustible renewables and waste (% of total energy),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Terrestrial and marine protected areas (% of total territorial area),Forest area (% of land area),Control of Corruption: Estimate,"Personal remittances, received (% of GDP)"
Afghanistan,74.85,27.040000000000003,62.574400000000004,57.0392990112305,27.300370174510864,76.65105777391591,94.36,485.022544338633,17.020000000000003,42.32000000000001,26.040999999999997,71.7725358745325,7.68518,2.2,1.8527819940818417,-1.350299406051636,3.452613353572918
Albania,0.5333333333333333,4.34,78.4284,97.75089874267577,31.660421545667457,94.88774678625875,100.0,4702.593150952894,73.62,29.866666666666664,62.0856,11.953787487567542,4.89364,14.059999999999999,28.791970802919714,-0.5338402330875395,9.451340651180157
Algeria,1.3686666666666667,2.5,75.1662,105.932548522949,18.697788697788724,94.40147686941184,99.72,4550.9133539963495,63.06,31.155333333333335,73.7168,0.019617435815742122,178.95292,5.4799999999999995,0.8182623047594177,-0.6511805891990662,0.9383875845649639
Andorra,0.4096666666666667,9.772000000000002,82.821,96.41033630371093,43.57142857142854,99.99999817695075,100.0,37966.89712292872,93.075,31.07266666666667,87.9262,22.557427279567865,314.15516399999996,26.78,34.04255319148936,1.234108567237854,1.0443419775524523
Angola,39.3,19.900000000000002,63.1986,52.5437698364258,30.72727272727272,57.16176207601002,46.92,2528.2065526619563,35.839999999999996,51.3,66.8114,49.617075465402024,25.431759999999997,5.0,53.42695025266704,-0.8902029514312737,0.01117183276419258
Antigua and Barbuda,0.42400000000000004,11.292000000000002,77.2282,120.935958862305,11.1111111111111,98.36500519926877,100.0,17011.98128778509,75.06,32.292,24.452800000000003,29.172228634223114,0.30456,0.36,18.451999999999998,0.2515503197908402,2.2728515591449576
Argentina,1.6400000000000001,3.38,75.84979999999999,112.92130432128901,41.88363614081317,86.89891310462683,100.0,12577.97030333731,83.74000000000001,42.160000000000004,92.10959999999999,4.553314620832507,185.47794000000002,9.0,10.440633677910176,-0.24795573651790614,0.14908720057552677
Armenia,2.16,2.5,74.45219512195123,94.25019073486325,26.844762713921604,99.94154308580984,99.97999999999999,4291.837438532645,73.36,29.060000000000002,63.33699999999999,3.5688828583641965,6.81746,24.14,11.537407797681771,-0.1126584903802722,11.057159075388874
Australia,0.5,2.5,83.06975609756098,137.2913360595704,31.826048565121418,99.9698143694465,100.0,59174.9250323034,94.46000000000001,34.3,86.2454,3.724522126629965,393.82838000000004,30.839999999999996,17.42131455716444,1.732052993774414,0.09699352299237955
Austria,0.6,2.5,81.45317073170732,101.53849029541001,38.90710382513664,99.99999905446705,100.0,45699.042194504946,89.78,30.48,58.76220000000001,19.440366781231283,65.14376,28.939999999999998,47.15676199709161,1.4137870073318481,0.668681062741579
Azerbaijan,3.7880000000000003,2.5,72.3484,98.04399719238286,17.4954492210107,96.31641912969971,100.0,5329.110062408816,83.9,35.72,56.41080000000001,0.6709258139361267,36.80172,5.5,13.693391911842886,-0.9339578628540052,3.2664161150645064
"Bahamas, The",0.47400000000000003,9.676000000000002,72.7414,62.6166610717773,14.871794871794838,98.8869604973405,100.0,29749.50440401837,91.02000000000001,33.049,83.2518,22.50776144074953,1.58776,8.6,50.93506493506494,1.142689394950868,0.26949077137141325
Bahrain,0.344,9.940000000000001,79.7282,101.64904785156267,16.0,99.92106201236855,100.0,24368.313234096808,99.6,29.976,89.5104,23.071088619711567,36.2161,5.46,0.8919889863367547,-0.004658447951078515,0.0
